town	name	municipalStatus	municipalUrl	recreationUrl	libraryImportable	libraryManual	tier4Count	issues	hasAccessible	tier4Types
green-brook-township	Green Brook township	manual_review	https://www.greenbrooktwp.org/	https://www.greenbrooktwp.org/	0	0	1	downtown-sid-events	true	downtown-sid-events
warren-township	Warren township	importable	https://www.warrennj.org/calendar.aspx	https://www.warrennj.org/DocumentCenter/View/11321/2026-Recreation-Programs-Events3	1	0	4	municipal-supplemental-events|indoor-play-trampoline|kids-party-craft-venue|arboretum-family-programs	true	municipal-supplemental-events|indoor-play-trampoline|kids-party-craft-venue|arboretum-family-programs
dunellen-borough	Dunellen borough	manual_review	https://www.dunellen-nj.gov/	https://www.dunellen-nj.gov/departments/parks_and_recreation/index.php	1	0	1	downtown-sid-events	true	downtown-sid-events
north-plainfield-borough	North Plainfield borough	manual_review	https://northplainfieldnj.gov/	https://northplainfieldnj.gov/	1	0	1	municipal-supplemental-events	true	municipal-supplemental-events
middlesex-borough	Middlesex borough	importable	https://www.middlesexboro-nj.gov/calendar	https://www.middlesexboro-nj.gov/recreation	1	0	1	municipal-supplemental-events	true	municipal-supplemental-events
watchung-borough	Watchung borough	manual_review	https://watchungnj.gov/recreation-dates	https://watchungnj.gov/recreation-dates	1	0	3	municipal-supplemental-events|kids-gym-classes|indoor-playground	true	municipal-supplemental-events|kids-gym-classes|indoor-playground
plainfield-city	Plainfield city	manual_review	https://plainfieldsid.org/events-calendar	https://www.plainfieldnj.gov/	1	0	1	downtown-sid-events	true	downtown-sid-events
bound-brook-borough	Bound Brook borough	manual_review	https://boundbrook-nj.org/calendar/	https://boundbrook-nj.org/recreation/	0	0	1	municipal-supplemental-events	true	municipal-supplemental-events
long-hill-township	Long Hill township	manual_review	https://www.longhillnj.gov/calendar	https://www.longhillnj.gov/	1	0	1	municipal-supplemental-events	true	municipal-supplemental-events
south-bound-brook-borough	South Bound Brook borough	manual_review	https://sbbnj.com/events/	https://sbbnj.com/events/	0	0	1	downtown-sid-events	true	downtown-sid-events
south-plainfield-borough	South Plainfield borough	manual_review	https://www.southplainfieldnj.com/spnj/Departments/Departments/Recreation%20Department/Recreation%20Home/Recreation%20Calendar/	https://www.southplainfieldnj.com/recreation	1	0	2	municipal-supplemental-events|indoor-play-trampoline	true	municipal-supplemental-events|indoor-play-trampoline
berkeley-heights-township	Berkeley Heights township	importable	https://berkeleyheights.gov/calendar.aspx	https://www.berkeleyheights.gov/214/Recreation	1	0	1	downtown-sid-events	true	downtown-sid-events
piscataway-township	Piscataway township	manual_review	https://drupalpway.piscatawaynj.org/calendar	https://drupalpway.piscatawaynj.org/recreation/about-us	1	0	1	downtown-sid-events	true	downtown-sid-events
bernards-township	Bernards township	importable	https://www.bernards.org/resident-calendar	https://bernards.org/departments/recreation	1	0	3	municipal-supplemental-events|arts-center-family-programs|county-park-family-activities	true	municipal-supplemental-events|arts-center-family-programs|county-park-family-activities
fanwood-borough	Fanwood borough	manual_review	https://fanwoodnj.org/calendar/	https://fanwoodnj.org/departments/recreation-info/	1	0	1	municipal-supplemental-events	true	municipal-supplemental-events
scotch-plains-township	Scotch Plains township	manual_review	https://scotchplainsnj.gov/index.php/events	https://scotchplainsnj.gov/index.php/events	1	0	1	municipal-supplemental-events	true	municipal-supplemental-events
bridgewater-township	Bridgewater township	manual_review	https://www.bridgewaternj.gov/township-information/calendar	https://parks.bridgewaternj.gov/	1	0	10	municipal-supplemental-events|mall-events|retail-kids-events|bookstore-kids-events|store-creative-sessions|sensory-gym|kids-esports-stem|county-park-family-activities|county-park-family-activities|county-park-family-activities	true	municipal-supplemental-events|mall-events|retail-kids-events|bookstore-kids-events|store-creative-sessions|sensory-gym|kids-esports-stem|county-park-family-activities|county-park-family-activities|county-park-family-activities
new-providence-borough	New Providence borough	importable	https://www.newprov.us/calendar.aspx	https://www.newprov.us/191/community-activities	1	0	1	downtown-sid-events	true	downtown-sid-events
somerville-borough	Somerville borough	manual_review	https://www.somervillenj.org/calendar/	https://www.somervillenj.org/departments/recreation/	1	0	2	municipal-supplemental-events|downtown-sid-events	true	municipal-supplemental-events|downtown-sid-events
mountainside-borough	Mountainside borough	manual_review	https://www.mountainside-nj.com/	https://www.mountainside-nj.com/department/recreation/	1	0	1	municipal-supplemental-events	true	municipal-supplemental-events
summit-city	Summit city	importable	https://www.cityofsummit.org/Calendar.aspx	https://summitcommunityprograms.com/35/Events	1	0	1	downtown-sid-events	true	downtown-sid-events
manville-borough	Manville borough	importable	https://www.manvillenj.org/Calendar.aspx	https://www.manvillenj.org/308/Recreation	1	0	2	municipal-supplemental-events|indoor-playground	true	municipal-supplemental-events|indoor-playground
chatham-township	Chatham township	manual_review	https://www.chathamtownship.org/community-calendar/	https://www.chathamtownship.org/recreation/	0	0	1	downtown-sid-events	true	downtown-sid-events
